,Scaler,ActFunc,HiddenArch,Solver,MaxIter,bal_acc
0,false,logistic,"(10,)",adam,100,0.5
1,false,logistic,"(10,)",adam,400,0.5
2,false,logistic,"(10,)",sgd,100,0.5
3,false,logistic,"(10,)",sgd,400,0.5
4,false,logistic,"(20,)",adam,100,0.5
5,false,logistic,"(20,)",adam,400,0.5
6,false,logistic,"(20,)",sgd,100,0.5
7,false,logistic,"(20,)",sgd,400,0.5
8,false,logistic,"(50,)",adam,100,0.5
9,false,logistic,"(50,)",adam,400,0.5
10,false,logistic,"(50,)",sgd,100,0.5
11,false,logistic,"(50,)",sgd,400,0.5
12,false,logistic,"(10, 10)",adam,100,0.5
13,false,logistic,"(10, 10)",adam,400,0.5
14,false,logistic,"(10, 10)",sgd,100,0.5
15,false,logistic,"(10, 10)",sgd,400,0.5
16,false,logistic,"(20, 20)",adam,100,0.5
17,false,logistic,"(20, 20)",adam,400,0.5
18,false,logistic,"(20, 20)",sgd,100,0.5
19,false,logistic,"(20, 20)",sgd,400,0.5
20,false,logistic,"(50, 50)",adam,100,0.5
21,false,logistic,"(50, 50)",adam,400,0.5
22,false,logistic,"(50, 50)",sgd,100,0.5
23,false,logistic,"(50, 50)",sgd,400,0.5
24,false,logistic,"(10, 10, 10)",adam,100,0.5
25,false,logistic,"(10, 10, 10)",adam,400,0.5
26,false,logistic,"(10, 10, 10)",sgd,100,0.5
27,false,logistic,"(10, 10, 10)",sgd,400,0.5
28,false,logistic,"(20, 20, 20)",adam,100,0.5
29,false,logistic,"(20, 20, 20)",adam,400,0.5
30,false,logistic,"(20, 20, 20)",sgd,100,0.5
31,false,logistic,"(20, 20, 20)",sgd,400,0.5
32,false,logistic,"(50, 50, 50)",adam,100,0.5
33,false,logistic,"(50, 50, 50)",adam,400,0.5
34,false,logistic,"(50, 50, 50)",sgd,100,0.5
35,false,logistic,"(50, 50, 50)",sgd,400,0.5
36,false,relu,"(10,)",adam,100,0.7254470794471288
37,false,relu,"(10,)",adam,400,0.7254470794471288
38,false,relu,"(10,)",sgd,100,0.5
39,false,relu,"(10,)",sgd,400,0.5
40,false,relu,"(20,)",adam,100,0.7056099733919341
41,false,relu,"(20,)",adam,400,0.7056099733919341
42,false,relu,"(20,)",sgd,100,0.5
43,false,relu,"(20,)",sgd,400,0.5
44,false,relu,"(50,)",adam,100,0.634603976243826
45,false,relu,"(50,)",adam,400,0.634603976243826
46,false,relu,"(50,)",sgd,100,0.5
47,false,relu,"(50,)",sgd,400,0.5
48,false,relu,"(10, 10)",adam,100,0.7010156455085512
49,false,relu,"(10, 10)",adam,400,0.7010156455085512
50,false,relu,"(10, 10)",sgd,100,0.5
51,false,relu,"(10, 10)",sgd,400,0.5
52,false,relu,"(20, 20)",adam,100,0.731607131275715
53,false,relu,"(20, 20)",adam,400,0.731607131275715
54,false,relu,"(20, 20)",sgd,100,0.5
55,false,relu,"(20, 20)",sgd,400,0.5
56,false,relu,"(50, 50)",adam,100,0.6907408274665846
57,false,relu,"(50, 50)",adam,400,0.6907408274665846
58,false,relu,"(50, 50)",sgd,100,0.5
59,false,relu,"(50, 50)",sgd,400,0.5
60,false,relu,"(10, 10, 10)",adam,100,0.6675307208311685
61,false,relu,"(10, 10, 10)",adam,400,0.6675307208311685
62,false,relu,"(10, 10, 10)",sgd,100,0.5
63,false,relu,"(10, 10, 10)",sgd,400,0.5
